CLAVE_CTE,ALIAS,RAZON_SOCIAL,DIRECCION,CIUDAD,ESTADO,CORREO,TELEFONO,SUCURSAL,CONTACTO
APP_PER_JUV_ACEI,APPLEBEES JUVENTUD ,"Applemex, SA de CV",Periférico de la Juventud No. 5708  Col. Haciendas del Valle,CHIHUAHUA,CHIHUAHUA,chihuahua@applemex.com,6144301000,CHIHUAHUA,
APP_PER_JUV_BASU,APPLEBEES JUVENTUD (Basura),"Applemex, SA de CV",Periférico de la Juventud No. 5708  Col. Haciendas del Valle,CHIHUAHUA,CHIHUAHUA,chihuahua@applemex.com,6144301000,CHIHUAHUA,
NAYOS,Applebees Nayos,Applemex SA de CV,"Fernando de Borja 908, Adición Sur Universidad, 31203",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
NAYOS_BASU,Applebees Nayos (Basura),Applemex SA de CV,"Fernando de Borja 908, Adición Sur Universidad, 31203",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
ARAS_,Aras,Investment Bussines Grup SAPI de C.V.,"C. Cantera #10305, Col. La Haciendita",Chihuahua,Chihuahua,mariana.gonzalez@arasbgroup.com ,6142440714,CHIHUAHUA,Mariana Gonzalez
ARREBOL_,Arrebol,No Te Rajes 3B S.A. de C.V.,"C. Via Torentino #5703, Col. Saucito",Chihuahua,Chihuahua,valentino.ramos@hotmail.com,6141208439,CHIHUAHUA,Valentino Ramos
ASK_MONI,ASK Monica,DELUNVIC ADMINISTRACION S.de R.L.DE C.V.,"Fashion Mall Chihuahua, Perif. de la Juventud 3501, Puerta de Hierro, 31207",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
AWAINNOVA,Awainnova,Grupo Awainnova NGC S.A de C.V," Juan Harrison 9, Fuego Nuevo, Iztapalapa, 09800 Ciudad de México, CDMX",Chihuahua,Chihuahua,,6141402864,CHIHUAHUA,Abraham Mendoza
BAR_34,BAR EL 34, Carlos Ismael Baca Guardiola, Av. Tecnológico No. 4903 E-F Col. Las Granjas CP 31100,CHIHUAHUA,CHIHUAHUA,factura@el34.com.mx,,CHIHUAHUA,
BAR_VAGON_DE_VILLA,Bar Vagon de Villa,Villa Flores Myrna Azucena,"Av. Los Arroyos #16901 Loc. 24, Col. Arroyos etapa I",Chihuahua,Chihuahua,vagondevilla@gmail.com,6141790174,CHIHUAHUA,Myrna Azucena Villa
BARRI,BARRIGAS,Promotora Restaurantera S de RL de CV, Periferico de la Juventud No. 5905 Int. No. 1 Col. Haciendas del Valle,CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
BK_CAMP,BK campestre,HM Restaurantes S.A. de C.V.,"Calle Indiana 3305, Virreyes II O la Herradura, Campestre-Lomas, 31213",CHIHUAHUA,CHIHUAHUA,"compras@hemarestaurantes.mx, DINA NAJERA",,CHIHUAHUA,
BK_CAMP_ACEI,BK campestre (Aceite),HM Restaurantes S.A. de C.V.,"Calle Indiana 3305, Virreyes II O la Herradura, Campestre-Lomas, 31213",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_CAMP_BASU,BK campestre (Basura),HM Restaurantes S.A. de C.V.,"Calle Indiana 3305, Virreyes II O la Herradura, Campestre-Lomas, 31213",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_CUAU,BK Cuauhtemoc,HM Restaurantes S.A. de C.V.,"16 de Septiembre 1450, Progreso, 31550",CUAUHTÉMOC,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_CUAU_ACEI,BK Cuauhtemoc (Aceite),HM Restaurantes S.A. de C.V.,"16 de Septiembre 1450, Progreso, 31550",CUAUHTÉMOC,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_DEL,BK Delicias,HM Restaurantes S.A. de C.V.,"Av. 6ta Oriente S/N, Centro, 33000",DELICIAS,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,Cristina Fernandez
BK_DEL_ACEI,BK Delicias (Aceite),HM Restaurantes S.A. de C.V.,"Av. 6ta Oriente S/N, Centro, 33000",DELICIAS,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,Cristina Fernandez
BK_EJERCITO,BK Ejercito,HM Restaurantes S.A. de C.V.,"Av. Ejército Nacional # 6514, Del Márquez, 32607",Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,55 5255 5241,JUAREZ,
BK_EJERNAL_ACEI,BK Ejercito Nacional,HM Restaurantes S.A. de C.V.,"Avenida Ejército Nacional # 6514, Del Márquez, 32607",JUAREZ,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,,CHIHUAHUA,
BK_FMALL,BK Fashion mall,HM Restaurantes S.A. de C.V.,"Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_FMALL_ACEI,BK Fashion mall (Aceite),HM Restaurantes S.A. de C.V.,"Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_FM,BK Fuentes Mares,HM Restaurantes S.A. de C.V.,"Boulevard J. Fuentes Mares 1901, El Marmol, 31063",CHIHUAHUA,CHIHUAHUA,bkfuentesmares@hemarestaurantes.mx compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_FM_ACEI,BK Fuentes Mares (Aceite),HM Restaurantes S.A. de C.V.,"Boulevard J. Fuentes Mares 1901, El Marmol, 31063",CHIHUAHUA,CHIHUAHUA,bkfuentesmares@hemarestaurantes.mx compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_FM_BASU,BK Fuentes Mares (Basura),HM Restaurantes S.A. de C.V.,"Boulevard J. Fuentes Mares 1901, El Marmol, 31063",CHIHUAHUA,CHIHUAHUA,bkfuentesmares@hemarestaurantes.mx compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_GLOR,BK Glorieta,HM Restaurantes S.A. de C.V.,"Avenida Universidad 2707, San Felipe I Etapa, 31060",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_GLOR_ACEI,BK Glorieta (Aceite),HM Restaurantes S.A. de C.V.,"Avenida Universidad 2707, San Felipe I Etapa, 31060",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_GLOR_BASU,BK Glorieta (Basura),HM Restaurantes S.A. de C.V.,"Avenida Universidad 2707, San Felipe I Etapa, 31060",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,6144875875,CHIHUAHUA,
BK_JILOTEPEC,BK Jilotepec,HM Restaurantes S.A. de C.V.,"Av de las Torres # 1680, Salvarcar, C.P. 32580",Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,656 583 1567,JUAREZ,
BK_JILO_ACEI,BK Jilotepec ,HM Restaurantes S.A. de C.V.,"Av de las Torres 1680, Salvarcar, 32580",JUAREZ,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_LIBER,BK Libertad,HM Restaurantes S.A. de C.V.,"Calle Libertad 113, Centro, 31000",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_LIBER_ACEI,BK Libertad ,HM Restaurantes S.A. de C.V.,"Calle Libertad 113, Centro, 31000",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_LIBER_BASU,BK Libertad (Basura),HM Restaurantes S.A. de C.V.,"Calle Libertad 113, Centro, 31000",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_PZAJZ_ACEI,BK Plaza Juarez ,HM Restaurantes S.A. de C.V.,"Avenida Ejército Nacional # 6514, Del Márquez, 32607",JUAREZ,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_RENACIMIENTO,BK Renacimiento,HM Restaurantes S.A. de C.V.,"Av. Paseo Triunfo de la República # 4020, Monumental, C.P. 32310",Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,521 629 1525,JUAREZ,
BK_RENA_ACEI,BK Renacimiento ,HM Restaurantes S.A. de C.V.,"Avenida Paseo Triunfo de la República 4020, Monumental, 32310",JUAREZ,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_SAN_LORENZO,BK San Lorenzo,HM Restaurantes S.A. de C.V.,Paseo Triunfo de la República No. 365. Col. Nuevo Hipódromo C.P. 32310,Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,656 251 73 33,JUAREZ,
BK_SENDE_ACEI,BK Sendero,HM Restaurantes S.A. de C.V.,"Boulevard Francisco Villarreal Torres 2050, 32422",JUAREZ,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_SENDEROS,BK Senderos,HM Restaurantes S.A. de C.V.,"Blvrd Francisco Villarreal Torres # 2050, C.P. 32422",Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,656 666 2956,JUAREZ,
BK_VALL,BK Vallarta,HM Restaurantes S.A. de C.V.,"Av. Vallarta y Privada de Catalpa s/n., Granjas, 31100",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_VALL_ACEI,BK Vallarta (Aceite),HM Restaurantes S.A. de C.V.,"Av. Vallarta y Privada de Catalpa s/n., Granjas, 31100",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BK_VALL_BASU,BK Vallarta (Basura),HM Restaurantes S.A. de C.V.,"Av. Vallarta y Privada de Catalpa s/n., Granjas, 31100",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,,CHIHUAHUA,
BA_1690,Bodega Aurrera Aeropuerto-1690,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CHIHUAHUA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1517,Bodega Aurrera Camargo-1517,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CAMARGO,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1590,Bodega Aurrera Casas Grandes-1590,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CASAS GRANDES,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_3146,Bodega aurrera chaveñas,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_2138,Bodega Aurrera Delicias -2138,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",DELICIAS,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BODEGA_AURRERA_INDEPENDENCIA,Bodega Aurrera Independencia,Nueva Walmart de Mexico S. de R.L. de C.V.,"Blvr. Independencia # 2990, Parajes del Sur, C.P. 32575",Juarez,Chihuahua,daniel.gonzalez4@walmart.com.mx,656 701 8799,JUAREZ,
BA_1467,BODEGA AURRERA INDEPENDENCIA SUR,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_2787,Bodega Aurrera Industria Norte-2787,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CHIHUAHUA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1560,Bodega Aurrera Jimenez-1560,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JIMENEZ,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_3196,Bodega Aurrera Melchor Guaspe-3196,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CHIHUAHUA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1472,Bodega Aurrera Meoqui-1472,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",MEOQUI,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_NOGALES,Bodega Aurrera Nogales,Nueva Walmart de Mexico S. de R.L. de C.V.," Av. De Las Chimeneas 320, Las Praderas, 84064 Nogales, Son.",Nogales,Sonora,luis.quihui@walmart.com,,Selecciona Sucursal,
BA_X,Bodega Aurrera Ojinaga-X,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",OJINAGA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_3560,Bodega Aurrera Panamericana-3560,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CHIHUAHUA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1767,BODEGA AURRERA PUERTO DE PALOS,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_2740,BODEGA AURRERA TALAMOS CAMANDRAIT ,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BA_1763,Bodega Aurrera Torres del Rey-1763,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",CHIHUAHUA,CHIHUAHUA,daniel.gonzalez4@walmart.com.mx,,CHIHUAHUA,
BODEGA_DE_LIBROS,Bodega de Libros,Servicios Educativos del Estado de Chihuahua,"C. Ramon Alcazar SN, Col. Elvareal",Juarez,Chihuahua,rubi.ortiz@seech.edu.mx,656 705 43 00,JUAREZ,Rubi Ortiz
BOTAN_2AGUAS_ACEI,Botanero Dos Aguas ,CRP 888 S.A. DE C.V.,"Vía Lombardia 5700-8, El, Saucito, 31110",CHIHUAHUA,CHIHUAHUA,contabilidad@comecamila.com; facturasdosaguas@hotmail.com,,CHIHUAHUA,
BOURNS,Bourns de Mexico,"Bourns de México, S. de R.L. de C.V.", Victor Hugo # 310 Complejo Industrial Chihuahua C.P. 31109,CHIHUAHUA,CHIHUAHUA,fernando.gonzalez@bourns.com; Julieta Llamas <julieta.llamas@bourns.com>,,CHIHUAHUA,
Brooklyn_Wings_Company,Brooklyn Wings Company,Luis Javier Carrasco Carrasco,"Comonfort 513 Local 3 Camargo, chihuahua",CHIHUAHUA,CHIHUAHUA,javier_0504@hotmail.com,,CHIHUAHUA,
BUFALUKAS_ALDAMA,Bufalucas Aldama Centro,Dominio Lobo S.A. de C.V.,C. Juan Aldama #707 Col. Centro,Chihuahua,Chihuahua,"contabilidad@dominiolobo.com, facturasgastos@dominiolobo.com",6143443389 y 6141059253,CHIHUAHUA,Angelica Calvillo
LUKAS_FM,Bufalucas Fuentes Mares,Dominio Lobo S.A. de C.V.,"Blvd. J. Fuentes Mares 1901, El Mármol Viejo, 31063",CHIHUAHUA,CHIHUAHUA,gerenciasmares@dominiolobo.com,6141170190,CHIHUAHUA,Daniel Cervantes
LUKAS_JUV,Bufalucas Juventud,Raul Martinez Ogaz,"Perif. de la Juventud #9913, loc 8, Col. Ignacio Allende",CHIHUAHUA,CHIHUAHUA,buffalucasnorte@gmail.com,6144253030,CHIHUAHUA,
LUKAS_PNTE,Bufalucas Puerta Norte,Alma Rosa Macias Vazquez,"Puerta de Europa 15133-1, Local C-12, Col. Cafetales C.P. 31125",CHIHUAHUA,CHIHUAHUA,buffalucasnorte@gmail.com,6144939595,CHIHUAHUA,
BUFFA_WW_ACEI,Buffalo Wild Wings D1,HM Restaurantes S.A. de C.V.,"Periférico de la Juventud s/n, Distrito 1, San Francisco, 31115 ",CHIHUAHUA,CHIHUAHUA,compras@hemarestaurantes.mx,6141812743,CHIHUAHUA,
BUFFALO_WILD_WINGS_MISIONES,Buffalo Wild Wings Misiones,HM FOODS PACIFICO S.A DE C.V,"Centro Comercial Las Misiones, Blvd. Teófilo Borunda # 8681, Bosques del Sol, C.P. 32618",Juarez,Chihuahua,compras@hemarestaurantes.mx y cfernandez@hemarestaurantes.mx,656 648 4298,JUAREZ,
BUFFALO_WW_PUERTA_NORTE,Buffalo Wild Wings Puerta Norte,HM Foods Pacifico S.A. de C.V.,"Puerta Norte #1510, Cafetales, C.P. 31125",Chihuahua,Chihuahua,ocarbajal@hemarestaurantes.mx,6141812743,CHIHUAHUA,Karla Gonzalez
BUFFALUCAS_SENDERO,Buffalucas Sendero,Maria del Carmen Macias Vazquez,"C. Alejandro Dumas #11377 snack E, Complejo Industrial Chihuahua C.P. 31136",Chihuahua,Chihuahua,buffalucasnorte@gmail.com,,CHIHUAHUA,
BUFFALUCAS_SENDERO,Buffalucas Sendero,María del Carmen Macías Vázquez,"C. Alejandro Dumas #11377 Snack E, Complejo Industrial Chihuahua C.P. 31136",Chihuahua,Chihuahua,buffalucasnorte@gmail.com,,CHIHUAHUA,L.C. Eva Lilia Palma
BURRITOS_EL_BRO,Burritos El Bro,UMIAF S de R.L. de C.V.,Calle Ramón Rayon ,Juarez,Chihuahua,unidadmedicafact@gmail.com,656 690 7253,JUAREZ,
BURRITOS_SABINO,Burritos Sabino,,"Av. Manuel J. Clouthier # 7224, Del Real, C.P. 32660",Juarez,Chihuahua,luissepu21@gmail.com,,JUAREZ,656 241 95 17  
BURRITOS_TONI,Burritos Toni,Ana Maria Aldaco Arzate,"G. M. Solis 315, Partido Romero, C.P. 32030",Juarez ,Chihuahua,ana-maria172010@hotmail.com,656 613 5619,JUAREZ,
BWI_ACEI,BWI (Aceite),VEHICLE STABILITY TECHNOLOGY SA DE CV,VIALIDAD CH-P No. 8802 COL. LOS PINOS,CHIHUAHUA,CHIHUAHUA,marcos.rodriguez@bwigroup.com,,CHIHUAHUA,
BWI_BAS,BWI (Basura),VEHICLE STABILITY TECHNOLOGY SA DE CV,VIALIDAD CH-P No. 8802 COL. LOS PINOS,CHIHUAHUA,CHIHUAHUA,marcos.rodriguez@bwigroup.com,,CHIHUAHUA,
BWI_EXT,BWI (Trampa Externa),VEHICLE STABILITY TECHNOLOGY SA DE CV,VIALIDAD CH-P No. 8802 COL. LOS PINOS,CHIHUAHUA,CHIHUAHUA,marcos.rodriguez@bwigroup.com,,CHIHUAHUA,
BWI_INTS,BWI (Trampas Internas),VEHICLE STABILITY TECHNOLOGY SA DE CV,VIALIDAD CH-P No. 8802 COL. LOS PINOS,CHIHUAHUA,CHIHUAHUA,marcos.rodriguez@bwigroup.com,,CHIHUAHUA,
BWW_ENCUENTRO_FOR_ACEITE,BWW ENCUENTRO FORTUNA,HM FOODS MEXICO S.A. DE C.V.,"Obrero Mundial 296 local 01 Piedad Narvarte, Benito Juárez, Distrito Federal , México C.P. 03000",CIUDAD DE MÉXICO D.F.,DELEGACIÓN BENITO JUÁREZ,servicios.df@sisa.org.mx,,CHIHUAHUA,
BWW_ENCUENTRO_FOR_GRASA,BWW ENCUENTRO FORTUNA (Grasa),HM FOODS MEXICO S.A. DE C.V.,"Obrero Mundial 296 local 01 Piedad Narvarte, Benito Juárez, Distrito Federal , México C.P. 03000",CIUDAD DE MÉXICO D.F.,DELEGACIÓN BENITO JUÁREZ,servicios.df@sisa.org.mx,,CHIHUAHUA,
